FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB,url,past_fights
Jennifer Maia,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988",http://ufcstats.com/fighter-details/8e1f36476ef02a6a,[]
Levan Makashvili,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989",http://ufcstats.com/fighter-details/938ad489fb7a1f31,"[{'wl': 'draw', 'opponent': 'Damon Jackson', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Hacran Dias', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mark Eddiva', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
John Makdessi,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985",http://ufcstats.com/fighter-details/c21a036b4e012f1c,"[{'wl': 'loss', 'opponent': 'Jamie Mullarkey', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Nasrat Haqparast', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ignacio Bahamondes', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Francisco Trinaldo', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jesus Pinedo', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ross Pearson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Abel Trujillo', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Lando Vannata', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '1', 'time': '1:40'}, {'wl': 'win', 'opponent': 'Mehdi Baghdad', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Yancy Medeiros', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Donald Cerrone', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '2', 'time': '4:44'}, {'wl': 'win', 'opponent': 'Shane Campbell', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:53'}, {'wl': 'loss', 'opponent': 'Alan Patrick', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Renee Forte', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '2:01'}, {'wl': 'win', 'opponent': 'Daron Cruickshank', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Sam Stout', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Anthony Njokuani', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Dennis Hallman', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '2:58'}, {'wl': 'win', 'opponent': 'Kyle Watson', 'method': 'KO/TKO\n \n \n\n Spinning Back Fist', 'round': '3', 'time': '1:27'}, {'wl': 'win', 'opponent': 'Pat Audinwood', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Islam Makhachev,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991",http://ufcstats.com/fighter-details/275aca31f61ba28c,[]
Aliev Makhmud,"5' 6""",195 lbs.,--,Southpaw,"Feb 13, 1970",http://ufcstats.com/fighter-details/3d481aa374c954a1,"[{'wl': 'loss', 'opponent': 'Kiyoshi Tamura', 'method': 'KO/TKO', 'round': '1', 'time': '7:09'}]"
Zach Makovsky,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983",http://ufcstats.com/fighter-details/57ab4d7c0bc09a30,"[{'wl': 'loss', 'opponent': 'Dustin Ortiz', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Joseph Benavidez', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'John Dodson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tim Elliott', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jussier Formiga', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Josh Sampo', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Scott Jorgensen', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Jeremy Malaterre,"5' 11""",155 lbs.,--,,--,http://ufcstats.com/fighter-details/110404b505fb562c,"[{'wl': 'loss', 'opponent': 'Eric Galvan', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Fabio Maldonado,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",http://ufcstats.com/fighter-details/1fb80f46d3c105d9,"[{'wl': 'loss', 'opponent': 'Corey Anderson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Quinton Jackson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Hans Stringer', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '2', 'time': '4:06'}, {'wl': 'loss', 'opponent': 'Stipe Miocic', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:35'}, {'wl': 'win', 'opponent': 'Gian Villante', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Joey Beltran', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Roger Hollett', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Glover Teixeira', 'method': 'KO/TKO', 'round': '2', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Igor Pokrajac', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kyle Kingsbury', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'James McSweeney', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '0:48'}]"
Marvin Maldonado,"5' 6""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/e5ce754b01f922be,[]
Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991",http://ufcstats.com/fighter-details/b60c980f79b87ce8,"[{'wl': 'loss', 'opponent': 'Josiane Nunes', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:54'}, {'wl': 'win', 'opponent': 'Veronica Hardy', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Duda Santana', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:59'}]"
Nazareno Malegarie,"5' 8""",155 lbs.,--,,"May 16, 1986",http://ufcstats.com/fighter-details/d38e8c6ae2dfc051,"[{'wl': 'loss', 'opponent': 'Joaquim Silva', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Carl Malenko,"5' 11""",200 lbs.,--,Orthodox,--,http://ufcstats.com/fighter-details/a314687f372b2cec,"[{'wl': 'loss', 'opponent': 'Allan Goes', 'method': 'SUB\n \n \n\n Arm Triangle', 'round': '1', 'time': '9:16'}, {'wl': 'loss', 'opponent': 'Wanderlei Silva', 'method': 'U-DEC', 'round': '2', 'time': '10:00'}, {'wl': 'win', 'opponent': 'Egan Inoue', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Jacob Malkoun,"5' 9""",185 lbs.,"73""",Orthodox,"Aug 26, 1995",http://ufcstats.com/fighter-details/d4270315cbcf2569,"[{'wl': 'win', 'opponent': 'Andre Petroski', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '2', 'time': '0:39'}, {'wl': 'loss', 'opponent': 'Cody Brundage', 'method': 'DQ', 'round': '1', 'time': '4:15'}, {'wl': 'win', 'opponent': 'Nick Maximov', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Brendan Allen', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'AJ Dobson', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Abdul Razak Alhassan', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Phil Hawes', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:18'}]"
Mike Malott,"6' 1""",170 lbs.,"73""",Orthodox,"Nov 07, 1991",http://ufcstats.com/fighter-details/dd6103dd7127db1d,"[{'wl': 'loss', 'opponent': 'Neil Magny', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '4:45'}, {'wl': 'win', 'opponent': 'Adam Fugitt', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '2', 'time': '1:06'}, {'wl': 'win', 'opponent': 'Yohan Lainesse', 'method': 'SUB\n \n\n\n Arm Triangle', 'round': '1', 'time': '4:15'}, {'wl': 'win', 'opponent': 'Mickey Gall', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:41'}, {'wl': 'win', 'opponent': 'Shimon Smotritsky', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '0:39'}]"
Troy Mandaloniz,"5' 9""",170 lbs.,--,Orthodox,"Feb 01, 1980",http://ufcstats.com/fighter-details/725a834930c2b5bf,"[{'wl': 'loss', 'opponent': 'Paul Kelly', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Richie Hightower', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '4:20'}]"
Nate Maness,"5' 10""",135 lbs.,"72""",Orthodox,"Jun 27, 1991",http://ufcstats.com/fighter-details/6e9f40c706f91f32,"[{'wl': 'win', 'opponent': 'Jimmy Flick', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Mateus Mendonca', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '1', 'time': '4:40'}, {'wl': 'loss', 'opponent': 'Tagir Ulanbekov', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '2:11'}, {'wl': 'loss', 'opponent': 'Umar Nurmagomedov', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tony Gravely', 'method': 'KO/TKO\n \n\n\n Punches', 'round': '2', 'time': '2:10'}, {'wl': 'win', 'opponent': 'Luke Sanders', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '2', 'time': '2:29'}, {'wl': 'win', 'opponent': 'Johnny Munoz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Michael Mangan,--,155 lbs.,--,,--,http://ufcstats.com/fighter-details/9297ce6eee046f7a,[]
Gary Mangat,"5' 7""",135 lbs.,--,,--,http://ufcstats.com/fighter-details/1c0ffc63d8ec8f45,[]
Melvin Manhoef,"5' 9""",185 lbs.,--,Orthodox,"May 11, 1976",http://ufcstats.com/fighter-details/e5767ed355a937c2,"[{'wl': 'win', 'opponent': 'Denis Kang', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '0:50'}, {'wl': 'loss', 'opponent': 'Tim Kennedy', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '1', 'time': '3:41'}, {'wl': 'loss', 'opponent': 'Tatsuya Mizuno', 'method': 'SUB\n \n \n\n Kimura', 'round': '1', 'time': '7:38'}, {'wl': 'loss', 'opponent': 'Robbie Lawler', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:33'}, {'wl': 'win', 'opponent': 'Kazuo Misaki', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:49'}, {'wl': 'loss', 'opponent': 'Paulo Filho', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '2:36'}, {'wl': 'win', 'opponent': 'Mark Hunt', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:18'}, {'wl': 'loss', 'opponent': 'Gegard Mousasi', 'method': 'SUB\n \n \n\n Triangle Choke', 'round': '1', 'time': '1:28'}, {'wl': 'win', 'opponent': 'Kazushi Sakuraba', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:30'}, {'wl': 'win', 'opponent': 'Dae Won Kim', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '1', 'time': '4:08'}, {'wl': 'loss', 'opponent': 'Yoshihiro Akiyama', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '1:58'}]"
Melchor Manibusan,"5' 5""",154 lbs.,--,Southpaw,"Dec 27, 1976",http://ufcstats.com/fighter-details/b6c6d1731ff00eeb,"[{'wl': 'loss', 'opponent': 'Tatsuya Kawajiri', 'method': 'KO/TKO', 'round': '1', 'time': '3:48'}]"
Jon Manley,"6' 1""",170 lbs.,--,Orthodox,"Jul 07, 1986",http://ufcstats.com/fighter-details/a0602dd050bebefc,"[{'wl': 'loss', 'opponent': 'Neil Magny', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Steve Mann,"6' 1""",170 lbs.,--,,--,http://ufcstats.com/fighter-details/0eef1bf99afd4ff2,[]
Chris Manuel,"5' 9""",135 lbs.,--,Orthodox,"Jul 21, 1987",http://ufcstats.com/fighter-details/a23e63184c65f5b8,"[{'wl': 'draw', 'opponent': 'Kenji Osawa', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Jimi Manuwa,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980",http://ufcstats.com/fighter-details/1e1dbd1cc5a7469e,"[{'wl': 'loss', 'opponent': 'Aleksandar Rakic', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '1', 'time': '0:47'}, {'wl': 'loss', 'opponent': 'Thiago Santos', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '0:41'}, {'wl': 'loss', 'opponent': 'Jan Blachowicz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Volkan Oezdemir', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '0:42'}, {'wl': 'win', 'opponent': 'Corey Anderson', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '3:05'}, {'wl': 'win', 'opponent': 'Ovince Saint Preux', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '2', 'time': '2:38'}, {'wl': 'loss', 'opponent': 'Anthony Johnson', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '0:28'}, {'wl': 'win', 'opponent': 'Jan Blachowicz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Alexander Gustafsson', 'method': 'KO/TKO\n \n\n\n Knee', 'round': '2', 'time': '1:18'}, {'wl': 'win', 'opponent': 'Ryan Jimmo', 'method': 'KO/TKO', 'round': '2', 'time': '4:41'}, {'wl': 'win', 'opponent': 'Cyrille Diabate', 'method': 'KO/TKO', 'round': '1', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Kyle Kingsbury', 'method': 'KO/TKO', 'round': '2', 'time': '5:00'}]"
Cristiano Marcello,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977",http://ufcstats.com/fighter-details/ff4c3ab594c7fac3,"[{'wl': 'loss', 'opponent': 'Joe Proctor', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Kazuki Tokudome', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Reza Madadi', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Sam Sicilia', 'method': 'KO/TKO\n \n \n\n Knee', 'round': '2', 'time': '2:53'}, {'wl': 'loss', 'opponent': 'Mitsuhiro Ishida', 'method': 'U-DEC', 'round': '2', 'time': '5:00'}]"
Jose Maria,"5' 5""",125 lbs.,--,Orthodox,"Jan 04, 1982",http://ufcstats.com/fighter-details/b35ba64b6a2bbcb3,"[{'wl': 'loss', 'opponent': 'Dustin Ortiz', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '3:19'}, {'wl': 'loss', 'opponent': 'John Lineker', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '1:03'}]"
Marcos Mariano,"6' 1""",155 lbs.,"76""",Switch,"Oct 12, 1986",http://ufcstats.com/fighter-details/72e5e5a6edfa8223,"[{'wl': 'loss', 'opponent': 'Claudio Puelles', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Lando Vannata', 'method': 'SUB\n \n \n\n Kimura', 'round': '1', 'time': '4:55'}]"
Enrique Marin,"5' 10""",170 lbs.,--,,"Sep 02, 1986",http://ufcstats.com/fighter-details/23a6e307077c6ccc,"[{'wl': 'loss', 'opponent': 'Sage Northcutt', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Erick Montano', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Ronny Markes,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988",http://ufcstats.com/fighter-details/bd21a1e3d41c97ee,"[{'wl': 'loss', 'opponent': 'Thiago Santos', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '1', 'time': '0:53'}, {'wl': 'loss', 'opponent': 'Yoel Romero', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '3', 'time': '1:39'}, {'wl': 'win', 'opponent': 'Andrew Craig', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Aaron Simpson', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Karlos Vemola', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Rory Markham,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982",http://ufcstats.com/fighter-details/23a16ebe733e3041,"[{'wl': 'loss', 'opponent': 'Nate Diaz', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:47'}, {'wl': 'loss', 'opponent': 'Dan Hardy', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:09'}, {'wl': 'win', 'opponent': 'Brodie Farber', 'method': 'KO/TKO\n \n\n\n Kick', 'round': '1', 'time': '1:37'}]"
Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985",http://ufcstats.com/fighter-details/4a57ebb14315b251,"[{'wl': 'win', 'opponent': 'Livinha Souza', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Luana Pinheiro', 'method': 'DQ', 'round': '1', 'time': '4:16'}, {'wl': 'loss', 'opponent': 'Kanako Murata', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Mackenzie Dern', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '3:44'}, {'wl': 'loss', 'opponent': 'Amanda Ribas', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ashley Yoder', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Claudia Gadelha', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Angela Hill', 'method': 'SUB\n \n\n\n Armbar', 'round': '1', 'time': '4:24'}, {'wl': 'draw', 'opponent': 'Marina Rodriguez', 'method': 'M-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Nina Nunes', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Juliana Lima', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Alexa Grasso', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Carla Esparza', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Cortney Casey', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '4:34'}, {'wl': 'win', 'opponent': 'Jocelyn Jones-Lybarger', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Karolina Kowalkiewicz', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Aisling Daly', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Jessica Penne', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985",http://ufcstats.com/fighter-details/c7be22a47a58365a,"[{'wl': 'loss', 'opponent': 'Montana De La Rosa', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '2:00'}]"
Nate Marquardt,"6' 0""",185 lbs.,"74""",Orthodox,"Apr 20, 1979",http://ufcstats.com/fighter-details/a8e6a69796280f17,"[{'wl': 'loss', 'opponent': 'Cezar Ferreira', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Vitor Belfort', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Sam Alvey', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tamdan McCrory', 'method': 'KO/TKO\n \n\n\n Kick', 'round': '2', 'time': '4:44'}, {'wl': 'loss', 'opponent': 'Thiago Santos', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:39'}, {'wl': 'win', 'opponent': 'CB Dollaway', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '2', 'time': '0:28'}, {'wl': 'loss', 'opponent': 'Kelvin Gastelum', 'method': 'KO/TKO', 'round': '2', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Brad Tavares', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'James Te Huna', 'method': 'SUB\n \n\n\n Armbar', 'round': '1', 'time': '4:34'}, {'wl': 'loss', 'opponent': 'Hector Lombard', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '1:48'}, {'wl': 'loss', 'opponent': 'Jake Ellenberger', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:00'}, {'wl': 'loss', 'opponent': 'Tarec Saffiedine', 'method': 'U-DEC', 'round': '5', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Tyron Woodley', 'method': 'KO/TKO\n \n \n\n Elbows', 'round': '4', 'time': '1:39'}, {'wl': 'win', 'opponent': 'Dan Miller', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Yushin Okami', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Rousimar Palhares', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '3:28'}, {'wl': 'loss', 'opponent': 'Chael Sonnen', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Demian Maia', 'method': 'KO/TKO\n \n\n\n Punch', 'round': '1', 'time': '0:21'}, {'wl': 'win', 'opponent': 'Wilson Gouveia', 'method': 'KO/TKO\n \n \n\n Flying Knee', 'round': '3', 'time': '3:10'}, {'wl': 'win', 'opponent': 'Martin Kampmann', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '1:22'}, {'wl': 'loss', 'opponent': 'Thales Leites', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Jeremy Horn', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '2', 'time': '1:37'}, {'wl': 'loss', 'opponent': 'Anderson Silva', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '4:50'}, {'wl': 'win', 'opponent': 'Dean Lister', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Crafton Wallace', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '1:14'}, {'wl': 'win', 'opponent': 'Joe Doerksen', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Ivan Salaverry', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Danilo Marques,"6' 6""",205 lbs.,"77""",Orthodox,"Dec 26, 1985",http://ufcstats.com/fighter-details/687c15b2eddfaa63,"[{'wl': 'loss', 'opponent': 'Jailton Almeida', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '1', 'time': '2:57'}, {'wl': 'loss', 'opponent': 'Kennedy Nzechukwu', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '3', 'time': '0:20'}, {'wl': 'win', 'opponent': 'Mike Rodriguez', 'method': 'SUB\n \n \n\n Rear Naked Choke', 'round': '2', 'time': '4:52'}, {'wl': 'win', 'opponent': 'Khadis Ibragimov', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}]"
Julian Marquez,"6' 2""",185 lbs.,"72""",Orthodox,"May 08, 1990",http://ufcstats.com/fighter-details/d0e1b42d41dab603,"[{'wl': 'loss', 'opponent': 'Zach Reese', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '0:20'}, {'wl': 'loss', 'opponent': 'Marc-Andre Barriault', 'method': 'KO/TKO\n \n \n\n Punches', 'round': '2', 'time': '4:12'}, {'wl': 'loss', 'opponent': 'Gregory Rodrigues', 'method': 'KO/TKO\n \n \n\n Punch', 'round': '1', 'time': '3:18'}, {'wl': 'win', 'opponent': 'Sam Alvey', 'method': 'SUB\n \n\n\n Rear Naked Choke', 'round': '2', 'time': '2:07'}, {'wl': 'win', 'opponent': 'Maki Pitolo', 'method': 'SUB\n \n\n\n Anaconda Choke', 'round': '3', 'time': '4:17'}, {'wl': 'loss', 'opponent': 'Alessio Di Chirico', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Darren Stewart', 'method': 'SUB\n \n\n\n Guillotine Choke', 'round': '2', 'time': '2:42'}, {'wl': 'win', 'opponent': 'Phil Hawes', 'method': 'KO/TKO\n \n \n\n Kick', 'round': '2', 'time': '2:20'}]"
Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981",http://ufcstats.com/fighter-details/aa03a3ca00ac6827,"[{'wl': 'loss', 'opponent': 'Ryan Bader', 'method': 'U-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'win', 'opponent': 'Steve Steinbeiss', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}, {'wl': 'loss', 'opponent': 'Wilson Gouveia', 'method': 'SUB\n \n \n\n Guillotine Choke', 'round': '1', 'time': '3:06'}, {'wl': 'loss', 'opponent': 'Gabriel Gonzaga', 'method': 'SUB\n \n \n\n Armbar', 'round': '1', 'time': '3:22'}, {'wl': 'win', 'opponent': 'Cheick Kongo', 'method': 'S-DEC', 'round': '3', 'time': '5:00'}]"
Cesar Marscucci,--,--,--,,--,http://ufcstats.com/fighter-details/e8efeb9cf33b1941,"[{'wl': 'win', 'opponent': 'Paulo Santos', 'method': 'KO/TKO', 'round': '1', 'time': '10:27'}]"
